file,force_N,volume_cm3,contact_area_mm2,max_depth_mm,mm_per_px,estimated_grating_period_px,ftp_output_dir
sphere-1.jpg,0.5,0.013897318468323634,205.22311025659033,0.2618858516216278,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/001_sphere-1_F0.5N
sphere-2.jpg,0.5,0.015697668452302027,206.68121131876055,0.22853468358516693,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/002_sphere-2_F0.5N
sphere-3.jpg,0.5,0.010988610885390073,161.01034836575937,0.20464380085468292,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/003_sphere-3_F0.5N
sphere-4.jpg,0.5,0.019896585310867573,267.0484409901546,0.25566136837005615,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/004_sphere-4_F0.5N
sphere-5.jpg,0.5,0.010413515682411756,161.8335294717441,0.16386406123638153,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/005_sphere-5_F0.5N
sphere-6.jpg,1.0,0.03761241047721209,266.4744290530217,0.6670059561729431,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/006_sphere-6_F1N
sphere-7.jpg,1.0,0.031452935645632916,192.45826602118626,0.7109416127204895,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/007_sphere-7_F1N
sphere-8.jpg,1.0,0.039712107729663784,205.14374526206714,0.7194128632545471,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/008_sphere-8_F1N
sphere-9.jpg,1.0,0.037799053036779585,184.2255321125657,0.743376612663269,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/009_sphere-9_F1N
sphere-10.jpg,1.0,0.03895332055977863,260.23412564644264,0.6891549825668335,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/010_sphere-10_F1N
sphere-11.jpg,2.0,0.07450613805252913,292.2200641368348,1.2369464635849,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/011_sphere-11_F2N
sphere-12.jpg,2.0,0.07369946728788328,290.0873606212175,1.2434941530227661,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/012_sphere-12_F2N
sphere-13.jpg,2.0,0.07582758539865715,288.50559782339485,1.2402918338775635,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/013_sphere-13_F2N
sphere-14.jpg,2.0,0.07189652359416836,271.85556025144865,1.2272727489471436,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/014_sphere-14_F2N
sphere-15.jpg,2.0,0.07113572850722519,260.5478942294413,1.2305909395217896,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/015_sphere-15_F2N
sphere-16.jpg,3.0,0.15164353425106064,340.25711134515524,1.753556251525879,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/016_sphere-16_F3N
sphere-17.jpg,3.0,0.15314626370313805,336.3728408573866,1.7568646669387817,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/017_sphere-17_F3N
sphere-18.jpg,3.0,0.1512934429171165,246.50121304761035,1.753724217414856,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/018_sphere-18_F3N
sphere-19.jpg,3.0,0.15360210773872335,240.54514706327706,1.7404221296310425,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/019_sphere-19_F3N
sphere-20.jpg,3.0,0.1527863671009752,246.68024570967427,1.7612494230270386,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/020_sphere-20_F3N
sphere-21.jpg,4.0,0.162035604514122,245.51837910380573,1.8166069984436035,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/021_sphere-21_F4N
sphere-22.jpg,4.0,0.16441834236931638,333.63567139511014,1.8145695924758911,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/022_sphere-22_F4N
sphere-23.jpg,4.0,0.16330651147038738,324.457017493626,1.8091078996658325,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/023_sphere-23_F4N
sphere-24.jpg,4.0,0.16196042117810383,229.99144848923999,1.800638198852539,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/024_sphere-24_F4N
sphere-25.jpg,4.0,0.16250312835449726,330.21374814287776,1.811943531036377,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/025_sphere-25_F4N
sphere-26.jpg,6.0,0.21842141944482174,249.33712732865405,1.9933817386627197,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/026_sphere-26_F6N
sphere-27.jpg,6.0,0.22018295029982468,347.3639697500748,1.990386962890625,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/027_sphere-27_F6N
sphere-28.jpg,6.0,0.22088157566040764,345.8274265421549,1.9961544275283813,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/028_sphere-28_F6N
sphere-29.jpg,6.0,0.21584491218621119,243.74374091231627,1.9911103248596191,0.030378426119953176,65.83619546657023,./Force/Height_to_force/calibration_out/ftp_runs/029_sphere-29_F6N
